	Parliament_ID	Parliament_Name	Land
1	0	Bundestag	Bund
8	3	Berlin	Berlin
29	13	Sachsen 	Sachsen
36	4	Brandenburg	Brandenburg
134	16	Thüringen	Thüringen
178	10	Nordrhein-Westfalen (NRW)	Nordrhein-Westfalen
340	2	Bayern	Bayern
705	6	Hamburg	Hamburg
733	17	Europäisches Parlament 	Europa
743	5	Bremen	Bremen
897	1	Baden-Württemberg	Baden-Württemberg
937	12	Saarland	Saarland
1058	7	Hessen	Hessen
1366	11	Rheinland-Pfalz	Rheinland-Pfalz
1629	9	Niedersachsen	Niedersachsen
1650	15	Schleswig-Holstein	Schleswig-Holstein
1819	8	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
2921	14	Sachsen-Anhalt	Sachsen-Anhalt