Land,Parliament_Name,Parliament_ID
baden-wuerttemberg,Baden-Württemberg,1
bayern,Bayern,2
berlin,Berlin,3
brandenburg,Brandenburg,4
bremen,Bremen,5
Bundestag,Bundestag,0
europaparlament,Europäisches Parlament,17
hamburg,Hamburg,6
hessen,Hessen,7
mecklenburg-vorpommern,Mecklenburg-Vorpommern,8
niedersachsen,Niedersachsen,9
nrw,Nordrhein-Westfalen (NRW),10
rheinland-pfalz,Rheinland-Pfalz,11
saarland,Saarland,12
sachsen,Sachsen,13
sachsen-anhalt,Sachsen-Anhalt,14
schleswig-holstein,Schleswig-Holstein,15
thueringen,Thüringen,16